Jugador,ID,Total Pueblos,OFFs FULL,OFFs MEDIA,Total Hachas,Total Ligeras,Total Arq.Caballo,Total Arietes,Total Catapultas,Pob. Ofensiva Total
Bejerano,1924,120,27,10,271509,120504,10248,20820,3431,936313
,FULL,Bolli (489|532) C54,,6002,2729,200,445,50,20543
,FULL,Bull bollo (488|489) C44,,6000,2750,200,445,50,20625
,FULL,Bull bollo (488|484) C44,,6000,2699,200,450,0,20046
,FULL,Bull bollo (488|488) C44,,6000,2700,200,400,40,20120
,FULL,Bull bollo (480|490) C44,,6000,2650,200,450,0,19850
,FULL,Bull bollo (483|482) C44,,6000,2650,200,400,0,19600
,FULL,Bull bollo (486|488) C44,,6000,2650,200,400,0,19600
,FULL,Bull bollo (485|482) C44,,5854,2585,195,390,0,19119
,FULL,Bull bollo (483|487) C44,,6000,2643,200,400,50,19972
,FULL,Choco (497|547) C54,,9000,3100,300,695,150,27575
,FULL,Cuscus (488|548) C54,,5337,2585,200,445,50,19302
,FULL,Donut (493|537) C54,,6001,2650,200,400,50,20001
,FULL,Filipinos (484|535) C54,,6002,2650,200,445,50,20227
,FULL,InSaNe (488|552) C54,,4443,2141,180,400,50,16307
,FULL,InSaNe (486|554) C54,,4591,2110,160,400,50,16231
,FULL,Mazapan (491|543) C54,,5816,2700,200,319,100,20011
,FULL,Napolitana (488|536) C54,,5001,2418,200,427,50,18208
,FULL,Palo de nata (499|545) C54,,8500,3100,300,650,120,26610
,FULL,Pantera rosa (486|541) C54,,4872,2185,300,260,100,17212
,FULL,SS Sur (489|536) C54,,6000,2700,200,400,0,19800
,FULL,SS Sur (486|546) C54,,5966,2650,200,399,0,19561
,FULL,SS Sur (490|542) C54,,5563,2650,200,395,34,19410
,FULL,SS Sur (492|537) C54,,6000,2650,200,400,0,19600
,FULL,SS Sur (489|534) C54,,6000,2650,200,445,0,19825
,FULL,SS Sur (488|545) C54,,4038,2650,200,450,0,17888
,FULL,SS Sur (496|539) C54,,6000,2650,200,420,0,19700
,FULL,Tarta de queso (498|530) C54,,6000,2634,200,444,5,19796
,MEDIA,InSaNe (490|552) C54,,4008,1650,140,400,50,13708
,MEDIA,InSaNe (493|558) C54,,3817,2154,199,400,50,15828
,MEDIA,InSaNe (487|549) C54,,3887,1502,120,400,50,12895
,MEDIA,InSaNe (490|553) C54,,3596,1505,125,370,50,12491
,MEDIA,InSaNe (490|551) C54,,3330,1620,129,371,50,12710
,MEDIA,SS Sur (489|545) C54,,4456,1970,160,445,15,15481
,MEDIA,SS Sur (496|548) C54,,3519,1600,136,346,0,12329
,MEDIA,SS Sur (490|538) C54,,4009,1826,145,301,0,13543
,MEDIA,SS Sur (493|538) C54,,4566,2023,160,363,0,15273
,MEDIA,SS Sur (487|537) C54,,4334,1873,157,357,0,14396
BullDozer,2040856,82,18,6,172376,73243,5184,10600,5094,585020
,FULL,Vae Victis 001 (495|508) C54,,5600,2638,198,392,99,19894
,FULL,Vae Victis 002 (496|507) C54,,5600,2693,200,393,100,20137
,FULL,Vae Victis 006 (496|505) C54,,5600,2650,200,393,100,19965
,FULL,Vae Victis 010 (492|502) C54,,7500,2650,200,493,100,22365
,FULL,Vae Victis 019 (496|497) C44,,5600,2650,200,390,100,19950
,FULL,Vae Victis 021 (483|496) C44,,5600,2650,200,398,100,19990
,FULL,Vae Victis 027 (493|494) C44,,5600,2209,171,400,100,18091
,FULL,Vae Victis 028 (494|494) C44,,5600,2650,200,398,100,19990
,FULL,Vae Victis 029 (495|494) C44,,5540,1992,160,389,100,17053
,FULL,Vae Victis 032 (487|492) C44,,5205,2521,195,355,95,18799
,FULL,Vae Victis 039 (494|491) C44,,5600,2338,177,400,100,18637
,FULL,Vae Victis 046 (496|487) C44,,5083,2169,185,452,93,17688
,FULL,Vae Victis 052 (498|484) C44,,5535,2634,196,381,98,19740
,FULL,Vae Victis 056 (495|482) C44,,5230,2447,197,395,99,18770
,FULL,Vae Victis 060 (499|480) C44,,5321,2279,190,400,100,18187
,FULL,Vae Victis 062 (501|495) C45,,6031,2143,172,402,86,18161
,FULL,Vae Victis 071 (502|484) C45,,5600,2650,200,400,100,20000
,FULL,Vae Victis 073 (490|477) C44,,5413,2081,180,400,100,17437
,MEDIA,Perrito Guardian (447|464) C44,,4613,1897,160,384,100,15721
,MEDIA,Vae Victis 011 (490|499) C44,,3549,1557,120,298,80,12507
,MEDIA,Vae Victis 015 (492|498) C44,,4706,1631,140,170,50,13180
,MEDIA,Vae Victis 020 (497|497) C44,,5263,1606,132,88,28,13011
,MEDIA,Vae Victis 034 (489|492) C44,,4611,1672,140,137,40,13004
,MEDIA,Vae Victis 038 (492|491) C44,,5098,1726,140,382,98,15396
ferbarom,3904,103,11,15,120247,65878,0,12441,1345,456724
,FULL,-010 ferbarom (489|505) C54,,6121,3215,0,533,32,21902
,FULL,-058 ferbarom (483|500) C54,,3844,2694,0,400,20,16780
,FULL,001 ferbarom (479|504) C54,,5000,2858,0,400,91,19160
,FULL,007 ferbarom (478|501) C54,,4300,2560,0,380,20,16600
